AB,C,D,E,F,G,H,I,J,K,L
0x04A9730000,"0x0352","0x0004","0x0000","0x0000","B","0x2973","0x0000","0x0000","0x0051","0x01F6","0x0F09"
0x04A9740000,"0x0353","0x0004","0x0000","0x0000","B","0x2974","0x0000","0x0000","0x0051","0x01F7","0x0F0A"
0x04D29B0000,"0x0354","0x0004","0x0000","0x0000","U","0x129B","0x0000","0x0000","0x0051","0x0245","0xAD98"
0x04921E0000,"0x0355","0x0004","0x0000","0x0000","B","0x121E","0x0000","0x0000","0x0051","0x01BB","0x061E"
0x04A9640000,"0x0356","0x0004","0x0000","0x0000","B","0x2964","0x0000","0x0000","0x0051","0x01E5","0x0EF8"
0x04A9660000,"0x0357","0x0004","0x0000","0x0000","B","0x2966","0x0000","0x0000","0x0051","0x01E7","0x0EFA"
0x04A97A0000,"0x0358","0x0004","0x0000","0x0000","B","0x297A","0x0000","0x0000","0x0051","0x01FD","0x0F10"
0x04A97B0000,"0x0359","0x0004","0x0000","0x0000","B","0x297B","0x0000","0x0000","0x0051","0x01FE","0x0F11"
0x04A97C0000,"0x035A","0x0004","0x0000","0x0000","B","0x297C","0x0000","0x0000","0x0051","0x01FF","0x0F12"
0x04A97D0000,"0x035B","0x0004","0x0000","0x0000","B","0x297D","0x0000","0x0000","0x0051","0x0200","0x0F13"
0x04A97E0000,"0x035C","0x0004","0x0000","0x0000","B","0x297E","0x0000","0x0000","0x0051","0x0201","0x0F14"
0x04A97F0000,"0x035D","0x0004","0x0000","0x0000","B","0x297F","0x0000","0x0000","0x0051","0x0202","0x0F15"
0x04A98C0000,"0x035E","0x0004","0x0000","0x0000","B","0x298C","0x0000","0x0000","0x0051","0x020F","0x0F22"
0x04A98D0000,"0x035F","0x0004","0x0000","0x0000","B","0x298D","0x0000","0x0000","0x0051","0x0210","0x0F23"
0x04A98E0000,"0x0360","0x0004","0x0000","0x0000","B","0x298E","0x0000","0x0000","0x0051","0x0211","0x0F24"
0x04A98F0000,"0x0361","0x0004","0x0000","0x0000","B","0x298F","0x0000","0x0000","0x0051","0x0212","0x0F25"
0x04923F0000,"0x0362","0x0004","0x0000","0x0000","B","0x123F","0x0000","0x0000","0x0051","0x01CA","0x065B"
0x04C1800000,"0x0363","0x0004","0x0000","0x0000","U","0x0180","0x0000","0x0000","0x0051","0x023D","0xABE5"
0x04920A0000,"0x0364","0x0004","0x0000","0x0000","B","0x120A","0x0000","0x0000","0x0051","0x01AD","0x05FA"
0x0492030000,"0x0365","0x0004","0x0000","0x0000","B","0x1203","0x0000","0x0000","0x0051","0x01AA","0x05F4"
0x04A9500000,"0x0366","0x0004","0x0000","0x0000","B","0x2950","0x0000","0x0000","0x0051","0x01D1","0x0EE4"
0x04A9510000,"0x0367","0x0004","0x0000","0x0000","B","0x2951","0x0000","0x0000","0x0051","0x01D2","0x0EE5"
0x04A9520000,"0x0368","0x0004","0x0000","0x0000","B","0x2952","0x0000","0x0000","0x0051","0x01D3","0x0EE6"
0x04A9530000,"0x0369","0x0004","0x0000","0x0000","B","0x2953","0x0000","0x0000","0x0051","0x01D4","0x0EE7"
