AB,C,D,E,F,G,H,I,J,K,L
0x8520060000,"0x3059","0x0085","0x00B2","0x000A","P","0x2006","0x0000","0x0000","0x0000","0x5BEF","0x0A29"
0x8520060100,"0x305A","0x0085","0x00B2","0x000A","P","0x2006","0x0000","0x0001","0x0000","0x5BEF","0x0A29"
0x8510570000,"0x305B","0x0085","0x00B3","0x0005","P","0x1057","0x0000","0x0000","0x0000","0x5BF0","0x0A30"
0x8510570100,"0x305C","0x0085","0x00B3","0x0005","P","0x1057","0x0000","0x0001","0x0000","0x5BF0","0x0A30"
0x8510580000,"0x305D","0x0085","0x00B3","0x0006","P","0x1058","0x0000","0x0000","0x0000","0x5BF1","0x7DEF"
0x8510580100,"0x305E","0x0085","0x00B3","0x0006","P","0x1058","0x0000","0x0001","0x0000","0x5BF1","0x7DEF"
0x8510590000,"0x305F","0x0085","0x00B3","0x0007","P","0x1059","0x0000","0x0000","0x0000","0x5BF2","0x0A31"
0x8510590100,"0x3060","0x0085","0x00B3","0x0007","P","0x1059","0x0000","0x0001","0x0000","0x5BF2","0x0A31"
0x8510600000,"0x3061","0x0085","0x00B3","0x0008","P","0x1060","0x0000","0x0000","0x0000","0x5BF3","0x0A32"
0x8510600100,"0x3062","0x0085","0x00B3","0x0008","P","0x1060","0x0000","0x0001","0x0000","0x5BF3","0x0A32"
0x8506980000,"0x3063","0x0085","0x00B5","0x0003","P","0x0698","0x0000","0x0000","0x0000","0x5BF8","0x0A68"
0x8506980100,"0x3064","0x0085","0x00B5","0x0003","P","0x0698","0x0000","0x0001","0x0000","0x5BF8","0x0A68"
0x8506990000,"0x3065","0x0085","0x00B5","0x0004","P","0x0699","0x0000","0x0000","0x0000","0x5BF9","0x0A69"
0x8506990100,"0x3066","0x0085","0x00B5","0x0004","P","0x0699","0x0000","0x0001","0x0000","0x5BF9","0x0A69"
0x8504030000,"0x3067","0x0085","0x00B6","0x0005","P","0x0403","0x0000","0x0000","0x0000","0x5BFA","0x0A74"
0x8504030100,"0x3068","0x0085","0x00B6","0x0005","P","0x0403","0x0000","0x0001","0x0000","0x5BFA","0x0A74"
0x8504890000,"0x3069","0x0085","0x00B6","0x0006","P","0x0489","0x0000","0x0000","0x0000","0x5BFB","0x0A75"
0x8504890100,"0x306A","0x0085","0x00B6","0x0006","P","0x0489","0x0000","0x0001","0x0000","0x5BFB","0x0A75"
0x8504900000,"0x306B","0x0085","0x00B6","0x0007","P","0x0490","0x0000","0x0000","0x0000","0x5BFC","0x7EB0"
0x8504900100,"0x306C","0x0085","0x00B6","0x0007","P","0x0490","0x0000","0x0001","0x0000","0x5BFC","0x7EB0"
0x8514050000,"0x306D","0x0085","0x00B6","0x0008","P","0x1405","0x0000","0x0000","0x0000","0x5BFD","0x0A76"
0x8514050100,"0x306E","0x0085","0x00B6","0x0008","P","0x1405","0x0000","0x0001","0x0000","0x5BFD","0x0A76"
0x8510300000,"0x306F","0x0085","0x00B7","0x0001","P","0x1030","0x0000","0x0000","0x0000","0x5BFE","0x0A84"
0x8510300100,"0x3070","0x0085","0x00B7","0x0001","P","0x1030","0x0000","0x0001","0x0000","0x5BFE","0x0A84"
0x8510310000,"0x3071","0x0085","0x00B7","0x0002","P","0x1031","0x0000","0x0000","0x0000","0x5BFF","0x0A85"
0x8510310100,"0x3072","0x0085","0x00B7","0x0002","P","0x1031","0x0000","0x0001","0x0000","0x5BFF","0x0A85"
0x8510320000,"0x3073","0x0085","0x00B7","0x0005","P","0x1032","0x0000","0x0000","0x0000","0x5C00","0x0A86"
0x8510320100,"0x3074","0x0085","0x00B7","0x0005","P","0x1032","0x0000","0x0001","0x0000","0x5C00","0x0A86"
0x8510330000,"0x3075","0x0085","0x00B7","0x0006","P","0x1033","0x0000","0x0000","0x0000","0x5C01","0x0A87"
0x8510330100,"0x3076","0x0085","0x00B7","0x0006","P","0x1033","0x0000","0x0001","0x0000","0x5C01","0x0A87"
0x8510340000,"0x3077","0x0085","0x00B7","0x0007","P","0x1034","0x0000","0x0000","0x0000","0x5C02","0x0A88"
0x8510340100,"0x3078","0x0085","0x00B7","0x0007","P","0x1034","0x0000","0x0001","0x0000","0x5C02","0x0A88"
0x8510350000,"0x3079","0x0085","0x00B7","0x0008","P","0x1035","0x0000","0x0000","0x0000","0x5C03","0x0A89"
0x8510350100,"0x307A","0x0085","0x00B7","0x0008","P","0x1035","0x0000","0x0001","0x0000","0x5C03","0x0A89"
0x85C1220000,"0x307B","0x0085","0x00B8","0x0001","U","0x0122","0x0000","0x0000","0x0000","0x5C04","0x0AA3"
0x85C1220100,"0x307C","0x0085","0x00B8","0x0001","U","0x0122","0x0000","0x0001","0x0000","0x5C04","0x0AA3"
0x85C3160000,"0x307D","0x0085","0x00B8","0x0002","U","0x0316","0x0000","0x0000","0x0000","0x5C05","0x0AA4"
0x85C3160100,"0x307E","0x0085","0x00B8","0x0002","U","0x0316","0x0000","0x0001","0x0000","0x5C05","0x0AA4"
0x85C4160000,"0x307F","0x0085","0x00B8","0x0003","U","0x0416","0x0000","0x0000","0x0000","0x5C06","0x0AA5"
0x85C4160100,"0x3080","0x0085","0x00B8","0x0003","U","0x0416","0x0000","0x0001","0x0000","0x5C06","0x0AA5"
0x85C1550000,"0x3081","0x0085","0x00B8","0x0006","U","0x0155","0x0000","0x0000","0x0000","0x5C07","0x0AA6"
0x85C1550100,"0x3082","0x0085","0x00B8","0x0006","U","0x0155","0x0000","0x0001","0x0000","0x5C07","0x0AA6"
0x85C3230000,"0x3083","0x0085","0x00B8","0x0007","U","0x0323","0x0000","0x0000","0x0000","0x5C08","0x0AA7"
0x85C3230100,"0x3084","0x0085","0x00B8","0x0007","U","0x0323","0x0000","0x0001","0x0000","0x5C08","0x0AA7"
0x85C4230000,"0x3085","0x0085","0x00B8","0x0008","U","0x0423","0x0000","0x0000","0x0000","0x5C09","0x0AA8"
0x85C4230100,"0x3086","0x0085","0x00B8","0x0008","U","0x0423","0x0000","0x0001","0x0000","0x5C09","0x0AA8"
0x8501820000,"0x3087","0x0085","0x00B9","0x0001","P","0x0182","0x0000","0x0000","0x0000","0x5C0A","0x0AC9"
0x8501820100,"0x3088","0x0085","0x00B9","0x0001","P","0x0182","0x0000","0x0001","0x0000","0x5C0A","0x0AC9"
0x8501830000,"0x3089","0x0085","0x00B9","0x0002","P","0x0183","0x0000","0x0000","0x0000","0x5C0B","0x0ACA"
0x8501830100,"0x308A","0x0085","0x00B9","0x0002","P","0x0183","0x0000","0x0001","0x0000","0x5C0B","0x0ACA"
0x8501810000,"0x308B","0x0085","0x00B9","0x0003","P","0x0181","0x0000","0x0000","0x0000","0x5C0C","0x0ACB"
0x8501810100,"0x308C","0x0085","0x00B9","0x0003","P","0x0181","0x0000","0x0001","0x0000","0x5C0C","0x0ACB"
0x85245A0000,"0x308D","0x0085","0x00BA","0x0005","P","0x245A","0x0000","0x0000","0x0000","0x5C0D","0x0ACF"
0x85245A0100,"0x308E","0x0085","0x00BA","0x0005","P","0x245A","0x0000","0x0001","0x0000","0x5C0D","0x0ACF"
0x85245C0000,"0x308F","0x0085","0x00BA","0x0006","P","0x245C","0x0000","0x0000","0x0000","0x5C0E","0x0AD0"
0x85245C0100,"0x3090","0x0085","0x00BA","0x0006","P","0x245C","0x0000","0x0001","0x0000","0x5C0E","0x0AD0"
0x85245D0000,"0x3091","0x0085","0x00BA","0x0007","P","0x245D","0x0000","0x0000","0x0000","0x5C0F","0x0AD1"
0x85245D0100,"0x3092","0x0085","0x00BA","0x0007","P","0x245D","0x0000","0x0001","0x0000","0x5C0F","0x0AD1"
0x8514060000,"0x3093","0x0085","0x00BA","0x0008","P","0x1406","0x0000","0x0000","0x0000","0x5C10","0x0AD2"
0x8514060100,"0x3094","0x0085","0x00BA","0x0008","P","0x1406","0x0000","0x0001","0x0000","0x5C10","0x0AD2"
0x8524540000,"0x3095","0x0085","0x00BB","0x0001","P","0x2454","0x0000","0x0000","0x0000","0x5C11","0x0ADA"
0x8524540100,"0x3096","0x0085","0x00BB","0x0001","P","0x2454","0x0000","0x0001","0x0000","0x5C11","0x0ADA"
0x8524550000,"0x3097","0x0085","0x00BB","0x0002","P","0x2455","0x0000","0x0000","0x0000","0x5C12","0x0ADB"
0x8524550100,"0x3098","0x0085","0x00BB","0x0002","P","0x2455","0x0000","0x0001","0x0000","0x5C12","0x0ADB"
0x8520020000,"0x3099","0x0085","0x00BB","0x0003","P","0x2002","0x0000","0x0000","0x0000","0x5C13","0x8781"
0x8520020100,"0x309A","0x0085","0x00BB","0x0003","P","0x2002","0x0000","0x0001","0x0000","0x5C13","0x8781"
0x85242F0000,"0x309B","0x0085","0x00BB","0x0004","P","0x242F","0x0000","0x0000","0x0000","0x5C14","0x0ADC"
0x85242F0100,"0x309C","0x0085","0x00BB","0x0004","P","0x242F","0x0000","0x0001","0x0000","0x5C14","0x0ADC"
0x8520320000,"0x309D","0x0085","0x00BC","0x0001","P","0x2032","0x0000","0x0000","0x0000","0x5C15","0x0AE8"
0x8520320100,"0x309E","0x0085","0x00BC","0x0001","P","0x2032","0x0000","0x0001","0x0000","0x5C15","0x0AE8"
0x8520330000,"0x309F","0x0085","0x00BC","0x0002","P","0x2033","0x0000","0x0000","0x0000","0x5C16","0x0AE9"
0x8520330100,"0x30A0","0x0085","0x00BC","0x0002","P","0x2033","0x0000","0x0001","0x0000","0x5C16","0x0AE9"
0x8520840000,"0x30A1","0x0085","0x00BC","0x0003","P","0x2084","0x0000","0x0000","0x0000","0x5C17","0x0AEA"
0x8520840100,"0x30A2","0x0085","0x00BC","0x0003","P","0x2084","0x0000","0x0001","0x0000","0x5C17","0x0AEA"
0x85242C0000,"0x30A3","0x0085","0x00BD","0x0001","P","0x242C","0x0000","0x0000","0x0000","0x5C18","0x0AEE"
0x85242C0100,"0x30A4","0x0085","0x00BD","0x0001","P","0x242C","0x0000","0x0001","0x0000","0x5C18","0x0AEE"
0x85242D0000,"0x30A5","0x0085","0x00BD","0x0002","P","0x242D","0x0000","0x0000","0x0000","0x5C19","0x0AEF"
0x85242D0100,"0x30A6","0x0085","0x00BD","0x0002","P","0x242D","0x0000","0x0001","0x0000","0x5C19","0x0AEF"
0x8506020000,"0x30A7","0x0085","0x00C4","0x0001","P","0x0602","0x0000","0x0000","0x0000","0x5C1B","0x0B4D"
0x8506020100,"0x30A8","0x0085","0x00C4","0x0001","P","0x0602","0x0000","0x0001","0x0000","0x5C1B","0x0B4D"
0x8516CD0000,"0x30A9","0x0085","0x00C9","0x0001","P","0x16CD","0x0000","0x0000","0x0000","0x5C1C","0x7F7C"
0x8516CD0100,"0x30AA","0x0085","0x00C9","0x0001","P","0x16CD","0x0000","0x0001","0x0000","0x5C1C","0x7F7C"
0x8516CE0000,"0x30AB","0x0085","0x00C9","0x0002","P","0x16CE","0x0000","0x0000","0x0000","0x5C1D","0x0BD3"
0x8516CE0100,"0x30AC","0x0085","0x00C9","0x0002","P","0x16CE","0x0000","0x0001","0x0000","0x5C1D","0x0BD3"
0x8516CF0000,"0x30AD","0x0085","0x00CA","0x0001","P","0x16CF","0x0000","0x0000","0x0000","0x5C1E","0x7F7E"
0x8516CF0100,"0x30AE","0x0085","0x00CA","0x0001","P","0x16CF","0x0000","0x0001","0x0000","0x5C1E","0x7F7E"
0x8516D00000,"0x30AF","0x0085","0x00CA","0x0002","P","0x16D0","0x0000","0x0000","0x0000","0x5C1F","0x7F7D"
0x8516D00100,"0x30B0","0x0085","0x00CA","0x0002","P","0x16D0","0x0000","0x0001","0x0000","0x5C1F","0x7F7D"
0x8516D10000,"0x30B1","0x0085","0x00CB","0x0001","P","0x16D1","0x0000","0x0000","0x0000","0x5C20","0x7F80"
0x8516D10100,"0x30B2","0x0085","0x00CB","0x0001","P","0x16D1","0x0000","0x0001","0x0000","0x5C20","0x7F80"
0x8516D20000,"0x30B3","0x0085","0x00CB","0x0002","P","0x16D2","0x0000","0x0000","0x0000","0x5C21","0x0BD7"
0x8516D20100,"0x30B4","0x0085","0x00CB","0x0002","P","0x16D2","0x0000","0x0001","0x0000","0x5C21","0x0BD7"
0x8516D30000,"0x30B5","0x0085","0x00CC","0x0001","P","0x16D3","0x0000","0x0000","0x0000","0x5C22","0x7F82"
0x8516D30100,"0x30B6","0x0085","0x00CC","0x0001","P","0x16D3","0x0000","0x0001","0x0000","0x5C22","0x7F82"
0x8516D40000,"0x30B7","0x0085","0x00CC","0x0002","P","0x16D4","0x0000","0x0000","0x0000","0x5C23","0x7F81"
0x8516D40100,"0x30B8","0x0085","0x00CC","0x0002","P","0x16D4","0x0000","0x0001","0x0000","0x5C23","0x7F81"
0x85C1070000,"0x30B9","0x0085","0x00CF","0x0001","U","0x0107","0x0000","0x0000","0x0000","0x5C24","0x0BE0"
0x85C1070100,"0x30BA","0x0085","0x00CF","0x0001","U","0x0107","0x0000","0x0001","0x0000","0x5C24","0x0BE0"
0x85C3080000,"0x30BB","0x0085","0x00CF","0x0002","U","0x0308","0x0000","0x0000","0x0000","0x5C25","0x0BE1"
0x85C3080100,"0x30BC","0x0085","0x00CF","0x0002","U","0x0308","0x0000","0x0001","0x0000","0x5C25","0x0BE1"
0x85C4080000,"0x30BD","0x0085","0x00CF","0x0003","U","0x0408","0x0000","0x0000","0x0000","0x5C26","0x0BE2"
0x85C4080100,"0x30BE","0x0085","0x00CF","0x0003","U","0x0408","0x0000","0x0001","0x0000","0x5C26","0x0BE2"
0x85D1050000,"0x30BF","0x0085","0x00CF","0x0004","U","0x1105","0x0000","0x0000","0x0000","0x5C27","0x0BE4"
0x85D1050100,"0x30C0","0x0085","0x00CF","0x0004","U","0x1105","0x0000","0x0001","0x0000","0x5C27","0x0BE4"
0x8613000000,"0x30C1","0x0086","0x0000","0x0000","P","0x1300","0x0000","0x0000","0x0000","0xFFFF","0x6B86"
0x8616070000,"0x30C4","0x0086","0x0000","0x0002","P","0x1607","0x0000","0x0000","0x0001","0x74FF","0x00AF"
0x8616070100,"0x30C5","0x0086","0x0000","0x0002","P","0x1607","0x0000","0x0001","0x0001","0x3A1C","0x00AF"
0x8616080000,"0x30C6","0x0086","0x0000","0x0003","P","0x1608","0x0000","0x0000","0x0001","0x7500","0x00B6"
0x8616080100,"0x30C7","0x0086","0x0000","0x0003","P","0x1608","0x0000","0x0001","0x0001","0x3A1D","0x00B6"
0x8606040000,"0x30CA","0x0086","0x0000","0x0005","P","0x0604","0x0000","0x0000","0x0001","0x7502","0x00B8"
0x8606040100,"0x30CB","0x0086","0x0000","0x0005","P","0x0604","0x0000","0x0001","0x0001","0x3A1F","0x00B8"
0x8606010000,"0x30CC","0x0086","0x0000","0x0006","P","0x0601","0x0000","0x0000","0x0001","0x7503","0x00BA"
0x8606010100,"0x30CD","0x0086","0x0000","0x0006","P","0x0601","0x0000","0x0001","0x0001","0x3A20","0x00BA"
0x8606060000,"0x30CE","0x0086","0x0000","0x0007","P","0x0606","0x0000","0x0000","0x0001","0x7504","0x7F20"
0x8606060100,"0x30CF","0x0086","0x0000","0x0007","P","0x0606","0x0000","0x0001","0x0001","0x3A21","0x7F20"
0x8606070000,"0x30D0","0x0086","0x0000","0x001D","P","0x0607","0x0000","0x0000","0x03E7","0x2D2C","0x00AD"
0x8606070100,"0x30D1","0x0086","0x0000","0x001D","P","0x0607","0x0000","0x0001","0x03E7","0x3A22","0x00AD"
0x8606050000,"0x30D2","0x0086","0x0000","0x001E","P","0x0605","0x0000","0x0000","0x03E7","0x2D2D","0x00B0"
0x8606050100,"0x30D3","0x0086","0x0000","0x001E","P","0x0605","0x0000","0x0001","0x03E7","0x3A23","0x00B0"
0x8606030000,"0x30D4","0x0086","0x0000","0x001F","P","0x0603","0x0000","0x0000","0x03E7","0x2D2E","0x00B1"
0x8606030100,"0x30D5","0x0086","0x0000","0x001F","P","0x0603","0x0000","0x0001","0x03E7","0x3A24","0x00B1"
0x8606040001,"0x30D6","0x0086","0x0000","0x0020","P","0x0604","0x0000","0x0000","0x03E7","0x2D2F","0x00B2"
0x8606040101,"0x30D7","0x0086","0x0000","0x0020","P","0x0604","0x0000","0x0001","0x03E7","0x3A25","0x00B2"
0x8601510000,"0x30D8","0x0086","0x0001","0x0001","P","0x0151","0x0000","0x0000","0x0036","0x7507","0x0112"
0x8601510100,"0x30D9","0x0086","0x0001","0x0001","P","0x0151","0x0000","0x0001","0x0036","0x76F4","0xA2F6"
0x8601310000,"0x30DA","0x0086","0x0001","0x0001","P","0x0131","0x0000","0x0000","0x0036","0x7506","0x0111"
0x8601310100,"0x30DB","0x0086","0x0001","0x0001","P","0x0131","0x0000","0x0001","0x0036","0x76F4","0xA2F5"
0x8601520000,"0x30DC","0x0086","0x0001","0x0002","P","0x0152","0x0000","0x0000","0x0036","0x2D31","0x011E"
0x8601520100,"0x30DD","0x0086","0x0001","0x0002","P","0x0152","0x0000","0x0001","0x0036","0x76F5","0xA2F8"
0x8601320000,"0x30DE","0x0086","0x0001","0x0002","P","0x0132","0x0000","0x0000","0x0036","0x2D30","0x011D"
0x8601320100,"0x30DF","0x0086","0x0001","0x0002","P","0x0132","0x0000","0x0001","0x0036","0x76F5","0xA2F7"
0x8601300000,"0x30E0","0x0086","0x0001","0x0004","P","0x0130","0x0000","0x0000","0x0036","0x7509","0x0125"
0x8601300100,"0x30E1","0x0086","0x0001","0x0004","P","0x0130","0x0000","0x0001","0x0036","0x76F6","0xA2F9"
0x8601300001,"0x30E2","0x0086","0x0001","0x0005","P","0x0130","0x0000","0x0000","0x03E7","0x2D32","0x0127"
0x8601300101,"0x30E3","0x0086","0x0001","0x0005","P","0x0130","0x0000","0x0001","0x03E7","0x3A26","0x0127"
0x8621970000,"0x30E4","0x0086","0x0001","0x0006","P","0x2197","0x0000","0x0000","0x03E7","0x2D33","0x034E"
0x8621970100,"0x30E5","0x0086","0x0001","0x0006","P","0x2197","0x0000","0x0001","0x03E7","0x3A27","0x034E"
0x8601540000,"0x30E6","0x0086","0x0001","0x0007","P","0x0154","0x0000","0x0000","0x03E7","0x2D34","0x012A"
0x8601540100,"0x30E7","0x0086","0x0001","0x0007","P","0x0154","0x0000","0x0001","0x03E7","0x3A28","0x012A"
0x8622980000,"0x30E8","0x0086","0x0001","0x0008","P","0x2298","0x0000","0x0000","0x03E7","0x2D35","0x012C"
0x8622980100,"0x30E9","0x0086","0x0001","0x0008","P","0x2298","0x0000","0x0001","0x03E7","0x3A29","0x012C"
0x8601500100,"0x30EA","0x0086","0x0001","0x0009","P","0x0150","0x0000","0x0001","0x0036","0x76F7","0xA2FE"
0x8601300102,"0x30EB","0x0086","0x0001","0x0009","P","0x0130","0x0000","0x0001","0x0036","0x76F7","0xA2FA"
0x8621950000,"0x30EC","0x0086","0x0001","0x000C","P","0x2195","0x0000","0x0000","0x03E7","0x2D36","0x0113"
0x8621950100,"0x30ED","0x0086","0x0001","0x000C","P","0x2195","0x0000","0x0001","0x03E7","0x3A2A","0x0113"
0x8601340000,"0x30EE","0x0086","0x0001","0x000D","P","0x0134","0x0000","0x0000","0x03E7","0x2D37","0x0114"
0x8601340100,"0x30EF","0x0086","0x0001","0x000D","P","0x0134","0x0000","0x0001","0x03E7","0x3A2B","0x0114"
0x8622970000,"0x30F0","0x0086","0x0001","0x000E","P","0x2297","0x0000","0x0000","0x03E7","0x2D38","0x0115"
0x8622970100,"0x30F1","0x0086","0x0001","0x000E","P","0x2297","0x0000","0x0001","0x03E7","0x3A2C","0x0115"
0x8601310001,"0x30F2","0x0086","0x0001","0x000F","P","0x0131","0x0000","0x0000","0x03E7","0x2D39","0x0116"
0x8601310101,"0x30F3","0x0086","0x0001","0x000F","P","0x0131","0x0000","0x0001","0x03E7","0x3A2D","0x0116"
0x8601320001,"0x30F4","0x0086","0x0001","0x0010","P","0x0132","0x0000","0x0000","0x03E7","0x2D3A","0x0117"
0x8601320101,"0x30F5","0x0086","0x0001","0x0010","P","0x0132","0x0000","0x0001","0x03E7","0x3A2E","0x0117"
0x8601310002,"0x30F6","0x0086","0x0002","0x0001","P","0x0131","0x0000","0x0000","0x0036","0x750A","0x01B2"
0x8601310102,"0x30F7","0x0086","0x0002","0x0001","P","0x0131","0x0000","0x0001","0x0036","0x76F8","0xA2FF"
0x8601320002,"0x30F8","0x0086","0x0002","0x0002","P","0x0132","0x0000","0x0000","0x0036","0x750B","0x01B7"
0x8601320102,"0x30F9","0x0086","0x0002","0x0002","P","0x0132","0x0000","0x0001","0x0036","0x76F9","0xA300"
0x8621950001,"0x30FA","0x0086","0x0002","0x0006","P","0x2195","0x0000","0x0000","0x03E7","0x2D3B","0x01C0"
0x8621950101,"0x30FB","0x0086","0x0002","0x0006","P","0x2195","0x0000","0x0001","0x03E7","0x3A2F","0x01C0"
0x8601340001,"0x30FC","0x0086","0x0002","0x0007","P","0x0134","0x0000","0x0000","0x03E7","0x2D3C","0x01C2"
0x8601340101,"0x30FD","0x0086","0x0002","0x0007","P","0x0134","0x0000","0x0001","0x03E7","0x3A30","0x01C2"
0x8622970001,"0x30FE","0x0086","0x0002","0x0008","P","0x2297","0x0000","0x0000","0x03E7","0x2D3D","0x01C4"
0x8622970101,"0x30FF","0x0086","0x0002","0x0008","P","0x2297","0x0000","0x0001","0x03E7","0x3A31","0x01C4"
0x8601300103,"0x3100","0x0086","0x0002","0x0009","P","0x0130","0x0000","0x0001","0x0036","0x76FA","0xA302"
0x8601070000,"0x3101","0x0086","0x0003","0x0001","P","0x0107","0x0000","0x0000","0x0003","0x750C","0x0237"
0x8601070100,"0x3102","0x0086","0x0003","0x0001","P","0x0107","0x0000","0x0001","0x0003","0x76FB","0x0237"
0x8601080000,"0x3103","0x0086","0x0003","0x0002","P","0x0108","0x0000","0x0000","0x0003","0x750D","0x0239"
0x8601080100,"0x3104","0x0086","0x0003","0x0002","P","0x0108","0x0000","0x0001","0x0003","0x76FC","0xA304"
0x8603350000,"0x3105","0x0086","0x0004","0x0001","P","0x0335","0x0000","0x0000","0x0007","0x750E","0x0255"
0x8603350100,"0x3106","0x0086","0x0004","0x0001","P","0x0335","0x0000","0x0001","0x03E7","0x3A32","0x0255"
0x8603360000,"0x3107","0x0086","0x0004","0x0002","P","0x0336","0x0000","0x0000","0x0007","0x750F","0x0259"
0x8603360100,"0x3108","0x0086","0x0004","0x0002","P","0x0336","0x0000","0x0001","0x03E7","0x3A33","0x0259"
0x8603390000,"0x3109","0x0086","0x0004","0x0006","P","0x0339","0x0000","0x0000","0x0007","0x7510","0x0265"
0x8603390100,"0x310A","0x0086","0x0004","0x0006","P","0x0339","0x0000","0x0001","0x03E7","0x3A34","0x0265"
0x8603450000,"0x310B","0x0086","0x0004","0x0007","P","0x0345","0x0000","0x0000","0x03E7","0x2D3E","0x0266"
0x8603450100,"0x310C","0x0086","0x0004","0x0007","P","0x0345","0x0000","0x0001","0x03E7","0x3A35","0x0266"
0x8603490000,"0x310D","0x0086","0x0004","0x0008","P","0x0349","0x0000","0x0000","0x03E7","0x2D3F","0x0267"
0x8603490100,"0x310E","0x0086","0x0004","0x0008","P","0x0349","0x0000","0x0001","0x03E7","0x3A36","0x0267"
0x8601060000,"0x310F","0x0086","0x0005","0x0001","P","0x0106","0x0000","0x0000","0x0003","0x7511","0x027A"
0x8601060100,"0x3110","0x0086","0x0005","0x0001","P","0x0106","0x0000","0x0001","0x03E7","0x3A37","0x027A"
0x8611280000,"0x3111","0x0086","0x0005","0x0003","P","0x1128","0x0000","0x0000","0x0003","0x7512","0x0280"
0x8611280100,"0x3112","0x0086","0x0005","0x0003","P","0x1128","0x0000","0x0001","0x0003","0x76FD","0xA305"
0x8611290000,"0x3113","0x0086","0x0005","0x0004","P","0x1129","0x0000","0x0000","0x0003","0x7513","0x0281"
0x8611290100,"0x3114","0x0086","0x0005","0x0004","P","0x1129","0x0000","0x0001","0x0003","0x76FE","0xA306"
0x8600680000,"0x3115","0x0086","0x0005","0x0005","P","0x0068","0x0000","0x0000","0x03E7","0x2D40","0x0282"
0x8600680100,"0x3116","0x0086","0x0005","0x0005","P","0x0068","0x0000","0x0001","0x03E7","0x3A38","0x0282"
0x8601060001,"0x3117","0x0086","0x0005","0x0006","P","0x0106","0x0000","0x0000","0x03E7","0x2D41","0x0283"
0x8601060101,"0x3118","0x0086","0x0005","0x0006","P","0x0106","0x0000","0x0001","0x03E7","0x3A39","0x0283"
0x8601170000,"0x3119","0x0086","0x0006","0x0001","P","0x0117","0x0000","0x0000","0x000E","0x7514","0x0293"
0x8601170100,"0x311A","0x0086","0x0006","0x0001","P","0x0117","0x0000","0x0001","0x03E7","0x3A3A","0x0293"
0x8601180000,"0x311B","0x0086","0x0006","0x0002","P","0x0118","0x0000","0x0000","0x000E","0x7515","0x0299"
0x8601180100,"0x311C","0x0086","0x0006","0x0002","P","0x0118","0x0000","0x0001","0x03E7","0x3A3B","0x0299"
0x8601220000,"0x311D","0x0086","0x0007","0x0001","P","0x0122","0x0000","0x0000","0x000F","0x7516","0x02A9"
0x8601220100,"0x311E","0x0086","0x0007","0x0001","P","0x0122","0x0000","0x0001","0x03E7","0x3A3C","0x02A9"
0x8601230000,"0x311F","0x0086","0x0007","0x0002","P","0x0123","0x0000","0x0000","0x000F","0x7517","0x02AB"
0x8601230100,"0x3120","0x0086","0x0007","0x0002","P","0x0123","0x0000","0x0001","0x03E7","0x3A3D","0x02AB"
0x8611210000,"0x3121","0x0086","0x0007","0x0003","P","0x1121","0x0000","0x0000","0x000F","0x7518","0x02AF"
0x8611210100,"0x3122","0x0086","0x0007","0x0003","P","0x1121","0x0000","0x0001","0x000F","0x76FF","0xA307"
0x8611220000,"0x3123","0x0086","0x0007","0x0004","P","0x1122","0x0000","0x0000","0x000F","0x7519","0x02B3"
0x8611220100,"0x3124","0x0086","0x0007","0x0004","P","0x1122","0x0000","0x0001","0x000F","0x7700","0xA308"
0x8602220000,"0x3125","0x0086","0x0007","0x0005","P","0x0222","0x0000","0x0000","0x000F","0x751A","0x02B4"
0x8602220100,"0x3126","0x0086","0x0007","0x0005","P","0x0222","0x0000","0x0001","0x03E7","0x3A3E","0x02B4"
0x8602230000,"0x3127","0x0086","0x0007","0x0006","P","0x0223","0x0000","0x0000","0x000F","0x751B","0x02B5"
0x8602230100,"0x3128","0x0086","0x0007","0x0006","P","0x0223","0x0000","0x0001","0x03E7","0x3A3F","0x02B5"
0x8621350000,"0x3129","0x0086","0x0007","0x0007","P","0x2135","0x0000","0x0000","0x000F","0x751C","0x02B6"
0x8621350100,"0x312A","0x0086","0x0007","0x0007","P","0x2135","0x0000","0x0001","0x03E7","0x3A40","0x02B6"
0x8601210000,"0x312B","0x0086","0x0007","0x0008","P","0x0121","0x0000","0x0000","0x03E7","0x2D42","0x02B7"
0x8601210100,"0x312C","0x0086","0x0007","0x0008","P","0x0121","0x0000","0x0001","0x03E7","0x3A41","0x02B7"
0x8602210000,"0x312D","0x0086","0x0007","0x0009","P","0x0221","0x0000","0x0000","0x03E7","0x2D43","0x02B8"
0x8602210100,"0x312E","0x0086","0x0007","0x0009","P","0x0221","0x0000","0x0001","0x03E7","0x3A42","0x02B8"
0x8613620000,"0x312F","0x0086","0x0008","0x0001","P","0x1362","0x0000","0x0000","0x0008","0x751D","0x02EA"
0x8613620100,"0x3130","0x0086","0x0008","0x0001","P","0x1362","0x0000","0x0001","0x03E7","0x3A43","0x02EA"
0x8613610000,"0x3131","0x0086","0x0008","0x0002","P","0x1361","0x0000","0x0000","0x0008","0x751E","0x02EB"
0x8613610100,"0x3132","0x0086","0x0008","0x0002","P","0x1361","0x0000","0x0001","0x03E7","0x3A44","0x02EB"
0x8613590000,"0x3133","0x0086","0x0008","0x0003","P","0x1359","0x0000","0x0000","0x0008","0x751F","0x02EE"
